                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.78395,                 2.9993,                 1.3309,                0.08997,                0.42736,                0.25135,                0.15154,                      0,                    inf,                      0,                 0.0706,              0.0032667,              0.0032667
                      1,                0.81528,                   2.25,                 1.3586,                 0.7698,                0.25507,                0.32808,                0.20275,                      0,                    inf,                      0,               0.040469,              0.0064693,              0.0064693
                      2,                0.86307,                 1.9284,                 1.3861,                0.77796,                0.09093,                0.18783,                0.08842,                      0,                    inf,                      0,               0.010207,                0.00954,                0.00954
                      3,                0.94055,                 1.9362,                 1.4438,                0.70067,                0.23311,                0.25309,                 0.1138,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                0.99365,                 1.9167,                 1.4758,                0.69688,                 0.2027,                0.20031,                0.09153,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.0178,                 1.8403,                 1.4949,                0.73076,                0.23164,                0.22653,                0.10585,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                0.99361,                 1.7333,                 1.4837,                0.76866,                0.24155,                0.26946,                0.14512,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                0.95138,                 1.6888,                 1.4549,                0.76027,                0.23142,                0.25202,                0.13897,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                0.93979,                 1.6543,                 1.4472,                0.80613,                0.28007,                0.32162,                 0.1777,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                0.96698,                 1.5536,                 1.4573,                0.82246,                0.18243,                0.27901,                0.12742,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 0.9239,                 1.4643,                 1.4104,                 0.8834,                0.27703,                0.34698,                0.19569,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                0.91084,                 1.4058,                 1.4161,                0.83902,                0.31419,                0.35696,                0.20036,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                0.89687,                 1.3555,                 1.3944,                0.79633,                 0.2652,                0.26463,                0.13509,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
